D;Var;rep;P;Prow;Pnr;row;pl;inpl;Ex;alaph;aph;aphtot;nas;macr;cat;wf
16.05.2018;PEG;N;1;1;0;1;1;0;3;0;0;0;0;0;0;0
16.05.2018;PEG;N;1;1;0;1;5;0;1;1;0;1;1;0;0;0
16.05.2018;PEG;N;1;1;0;1;10;0;1;1;1;2;2;0;0;0
16.05.2018;PEG;N;1;1;0;1;15;0;0;0;0;0;0;0;0;0
16.05.2018;PEG;N;1;1;0;1;20;0;0;0;0;0;0;0;2;0
16.05.2018;PEG;N;1;1;0;4;1;0;2;0;2;2;2;0;0;0
16.05.2018;PEG;N;1;1;0;4;5;1;0;0;0;0;0;0;0;0
16.05.2018;PEG;N;1;1;0;4;10;1;0;0;0;0;0;0;0;0
16.05.2018;PEG;N;1;1;0;4;15;1;0;0;0;0;0;0;0;0
16.05.2018;PEG;N;1;1;0;4;20;0;0;0;0;0;0;0;0;0
16.05.2018;PEG;N;1;1;0;5;1;0;0;0;0;0;0;0;0;0
16.05.2018;PEG;N;1;1;0;5;5;1;0;0;0;0;0;0;0;0
16.05.2018;PEG;N;1;1;0;5;10;1;0;0;0;0;0;0;0;0
16.05.2018;PEG;N;1;1;0;5;15;1;0;0;0;0;0;0;0;0
16.05.2018;PEG;N;1;1;0;5;20;0;0;1;1;2;1;1;0;0
16.05.2018;PEG;N;1;1;0;8;1;0;1;0;0;0;0;0;0;0
16.05.2018;PEG;N;1;1;0;8;5;1;0;0;0;0;0;0;0;0
16.05.2018;PEG;N;1;1;0;8;10;1;0;0;0;0;0;0;0;0
16.05.2018;PEG;N;1;1;0;8;15;1;0;1;0;1;1;0;0;0
16.05.2018;PEG;N;1;1;0;8;20;0;1;1;0;1;1;0;0;0
16.05.2018;PEG;N;1;1;0;9;1;0;1;1;4;5;5;0;0;0
16.05.2018;PEG;N;1;1;0;9;5;1;0;0;0;0;0;0;0;0
16.05.2018;PEG;N;1;1;0;9;10;1;0;0;0;0;0;0;0;0
16.05.2018;PEG;N;1;1;0;9;15;1;1;1;6;7;7;0;0;0
16.05.2018;PEG;N;1;1;0;9;20;0;0;1;13;14;14;0;0;0
16.05.2018;PEG;N;1;1;0;12;1;0;0;2;8;10;10;0;0;0
16.05.2018;PEG;N;1;1;0;12;5;0;0;0;0;0;0;0;0;0
16.05.2018;PEG;N;1;1;0;12;10;0;0;1;7;8;8;0;0;0
16.05.2018;PEG;N;1;1;0;12;15;0;0;0;0;0;0;0;0;0
16.05.2018;PEG;N;1;1;0;12;20;0;0;3;22;25;25;0;0;0
16.05.2018;SFG;N;2;1;1;1;1;0;0;2;8;10;10;0;0;0
16.05.2018;SFG;N;2;1;1;1;5;0;0;1;3;4;4;0;1;0
16.05.2018;SFG;N;2;1;1;1;10;0;0;1;0;1;1;0;0;1
16.05.2018;SFG;N;2;1;1;1;15;0;0;0;4;4;0;4;0;0
16.05.2018;SFG;N;2;1;1;1;20;0;0;0;0;0;0;0;0;0
16.05.2018;SFG;N;2;1;1;4;1;0;0;0;0;0;0;0;0;0
16.05.2018;SFG;N;2;1;1;4;5;1;0;0;0;0;0;0;0;0
16.05.2018;SFG;N;2;1;1;4;10;1;0;0;0;0;0;0;0;0
16.05.2018;SFG;N;2;1;1;4;15;1;0;0;0;0;0;0;0;0
16.05.2018;SFG;N;2;1;1;4;20;0;0;0;0;0;0;0;0;0
16.05.2018;SFG;N;2;1;1;5;1;0;0;0;8;8;0;8;0;0
