D;Var;rep;P;Prow;Pnr;row;pl;inpl;Ex;alaph;aph;aphtot;nas;macr;cat;wf;syr;ori;coc
20.06.2018;PEG;N;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEG;N;1;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0;1
20.06.2018;PEG;N;1;1;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEG;N;1;1;0;1;15;0;0;1;1;2;2;0;0;0;0;0;0
20.06.2018;PEG;N;1;1;0;1;20;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEG;N;1;1;0;4;1;0;0;1;1;2;2;0;0;0;1;0;0
20.06.2018;PEG;N;1;1;0;4;5;1;0;0;1;1;1;0;0;0;1;0;0
20.06.2018;PEG;N;1;1;0;4;10;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEG;N;1;1;0;4;15;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEG;N;1;1;0;4;20;0;0;0;0;0;0;0;0;0;0;0;2
20.06.2018;PEG;N;1;1;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEG;N;1;1;0;5;5;1;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;PEG;N;1;1;0;5;10;1;1;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEG;N;1;1;0;5;15;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEG;N;1;1;0;5;20;0;0;1;1;2;2;0;0;0;0;0;0
20.06.2018;PEG;N;1;1;0;8;1;0;0;1;1;2;2;0;0;0;0;0;0
20.06.2018;PEG;N;1;1;0;8;5;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEG;N;1;1;0;8;10;1;0;0;0;0;0;0;0;0;0;1;0
20.06.2018;PEG;N;1;1;0;8;15;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEG;N;1;1;0;8;20;0;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;PEG;N;1;1;0;9;1;0;1;0;1;1;1;0;0;0;0;0;0
20.06.2018;PEG;N;1;1;0;9;5;1;1;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEG;N;1;1;0;9;10;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEG;N;1;1;0;9;15;1;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;PEG;N;1;1;0;9;20;0;1;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEG;N;1;1;0;12;1;0;1;0;1;1;1;0;0;0;0;0;0
